ID;NOMBRE;UNIDAD;MARCA
2065234/2065235-HDT; FILTRO DE AIRE ( PRIMARIO & SECUNDARIO );UNIDADES;HDT
110*110*106-HDT;110*110*106 (BRONZE BUSHING) - HDT;UNIDADES;HDT
85519-CAT;12M3 MOTOR GRADER - CAT;UNIDADES;CAT
85030C-CAT;140H MOTOR GRADER - CAT;UNIDADES;CAT
85545-CAT;14M3 MOTOR GRADER - CAT;UNIDADES;CAT
3E9713-CAT;15W40 - BALDE - CAT;BALDE;CAT
1484695-HDT;1692ZCQ-FINAL DRIVE ASS'Y WITHOUT MOTOR - HDT;UNIDADES;HDT
85676-CAT;242D3 SKID STEER LOADER - CAT;UNIDADES;CAT
3610BZCW-HDT;2676799 + 1695593 ARMADO - HDT;UNIDADES;HDT
85693-CAT;272D2 SKID STEER LOADER & 1:64 CAT 297D2 COMPACT TRACK LOADER - CAT;UNIDADES;CAT
C6395-HDT;2966231 - SUN GEAR(1ST),TRAVEL - HDT;UNIDADES;HDT
298ZCW-HDT;298ZCW- 7Y1432 ARMADO - HDT;UNIDADES;HDT
85569-CAT;320 HYDRAULIC EXCAVATOR - CAT;UNIDADES;CAT
28005-CAT;320 RADIO CONTROL EXCAVATOR WITH BUCKET, GRAPPLE AND HAMMER ATTACHMENTS - CAT;UNIDADES;CAT
6G5533-CTP;3238674 - GEAR-WORM - CTP;UNIDADES;CTP
329D-ALT;329D TRAVEL GEARBOX (CUBO ARMADO REMAN) - ALT;UNIDADES;ALT
85199C-CAT;330D L HYDRAULIC EXCAVATOR - CAT;UNIDADES;CAT
85658-CAT;336 HYDRAULIC EXCAVATOR - NEXT GENERATION - CAT;UNIDADES;CAT
85241C-CAT;336D L HYDRAULIC EXCAVATOR - CAT;UNIDADES;CAT
3534AZCW-HDT;3534AZCW-1107209 ARMADO - HDT;UNIDADES;HDT
3542AZCW-HDT;3542AZCW- 1107058 ARMADO - HDT;UNIDADES;HDT
3549AZCW-HDT;3549AZCW-1107059 ARMADO - HDT;UNIDADES;HDT
3605ZCW-HDT;3605QZCW-1912571 ARMADO - HDT;UNIDADES;HDT
3826AZCW-HDT;3826AZCW - 1912579 ARMADO - HDT;UNIDADES;HDT
1912693-HDT;3829ZCQ-SWING GEARBOX ASS'Y WITHOUT MOTOR - HDT;UNIDADES;HDT
3917ZCW-HDT;3917ZCW-1912686 ARMADO PISTON - HDT;UNIDADES;HDT
2676878-HDT;3920LZCQ - DRIVE - HDT;UNIDADES;HDT
2676796-HDT;3920ZCQ-MANDO FINAL ASS'Y WITHOUT MOTOR - HDT;UNIDADES;HDT
85234-CAT;420F2 IT BACKHOE LOADER - 30TH ANNIVERSARY EDITION, SPECIAL BLACK FINISH - CAT;UNIDADES;CAT
85233-CAT;420F2 IT BACKHOE LOADER - CAT;UNIDADES;CAT
85249-CAT;432F2 BACKHOE LOADER - CAT;UNIDADES;CAT
495 LOCTITE-HENKEI;495 LOCTITE - HENKEI;UNIDADES;HENKEI
5091A-1ZCW-HDT;5091A-1ZCW-7I7728 ARMADO - HDT;UNIDADES;1ZCW-HDT
5K1485-HDT;5K1485 OJAL DE GOMA PLANO - HDT;UNIDADES;HDT
2966232 - 2966230-HDT;6399ZC - PLANET CARRIER SUBASS'Y(1ST)WITH SUNGEAR(WITH SNAP RING),TRAVEL - HDT;UNIDADES;HDT
2966194 - 2946186-HDT;6404ZCW - PLANET CARRIER SUBASS'Y(2ND)WITHOUT SUN GEAR(WITH SNAP RING),TRAVEL - HDT;UNIDADES;HDT
3530602 - 2966218-HDT;6413LZCQ - MANDO FINAL ASS'Y WITHOUT MOTOR - HDT;UNIDADES;HDT
5017238/5079339/29-HDT;6413ZCQ -MANDO FINAL ASS'Y WITHOUT MOTOR - HDT;UNIDADES;HDT
1912514-HDT;710100357-NEEDLE BEARING - HDT;UNIDADES;HDT
85528-CAT;745 ARTICULATED TRUCK - CAT;UNIDADES;CAT
85639-CAT;745 ARTICULATED TRUCK - CAT;UNIDADES;CAT
85704-CAT;745 WEATHERED ARTICULATED TRUCK - CAT;UNIDADES;CAT
8T9582-CAT;80W90 ACEITE - CAT;BALDE;CAT
85692-CAT;950M WHEEL LOADER - CAT;UNIDADES;CAT
85914-CAT;950M WHEEL LOADER - CAT;UNIDADES;CAT
85296C-CAT;980K WHEEL LOADER - ROCK CONFIGURATION (CORE CLASSIC) - CAT;UNIDADES;CAT
A8VO200/215 GEAR PUMP-HANDOK;A8VO200/215 GEAR PUMP (9T, 2 BOLT) - HANDOK;UNIDADES;HANDOK
1404763-CAT;ABRAZADERA - CAT;UNIDADES;CAT
27779463-CAT;ABRAZADERA - CAT;UNIDADES;CAT
2779463-CAT;ABRAZADERA - CAT;UNIDADES;CAT
2N8109-CAT;ABRAZADERA - CAT;UNIDADES;CAT
7Y1650-CAT;ABRAZADERA - CAT;UNIDADES;CAT
1W2431-CTP;ABRAZADERA - CTP;UNIDADES;CTP
2419264-CTP;ABRAZADERA - CTP;UNIDADES;CTP
3887017-CTP;ABRAZADERA - CTP;UNIDADES;CTP
7C0752-CTP;ABRAZADERA - CTP;UNIDADES;CTP
8T4985-CTP;ABRAZADERA - CTP;UNIDADES;CTP
8T6675-CTP;ABRAZADERA - CTP;UNIDADES;CTP
8T6703-CTP;ABRAZADERA - CTP;UNIDADES;CTP
9N1941-CTP;ABRAZADERA - CTP;UNIDADES;CTP
8T4984-CAT;ABRAZADERA DE 57MM - CAT;UNIDADES;CAT
1440367-CAT;ABRAZADERA DE BOQUILLA - CAT;UNIDADES;CAT
7S8735-CTP;ABRAZADERA DE BOQUILLA - CTP;UNIDADES;CTP
8N5132-CTP;ABRAZADERA DE BOQUILLA - CTP;UNIDADES;CTP
1586072-CAT;ABRAZADERA DE COMPRESOR - CAT;UNIDADES;CAT
1586072-CTP;ABRAZADERA DE COMPRESOR - CTP;UNIDADES;CTP
8T4986-CTP;ABRAZADERA DE FLEJE - CTP;UNIDADES;CTP
2828228-CAT;ABRAZADERA DE TUBO MULTIPLE - CAT;UNIDADES;CAT
7Y1532-CTP;ABRAZADERA DE TUBO MULTIPLE - CTP;UNIDADES;CTP
3781020-CAT;ACCIONADOR CONTROL REGULADOR - CAT;UNIDADES;CAT
3E9712-CAT;ACEITE 15W40 EN CILINDRO - CAT;CILINDRO;CAT
9X6185-CAT;ACEITE CAT GO 85W-140 (5G) - CAT;BALDE;CAT
4C6767-CAT;ACEITE DE ROLA - BALDE - CAT;UNIDADES;CAT
3096930-CAT;ACEITE HIDRAULICO SAE 10 EN CILINDRO - CAT;CILINDRO;CAT
1053335-CAT;ACEITE TRACTOR - CAT;UNIDADES;CAT
3453548-CAT;ACOPLAMIENTO DE BRIDA - CAT;UNIDADES;CAT
7X1803-HDT;ACOPLAMIENTO GUARDAPOLVO 90 - HDT;UNIDADES;HDT
1241904-CAT;ACOPLAMIENTO TUBERIA TANQUE DE AIRE - CAT;UNIDADES;CAT
2552946-CAT;ACOPLAMIENTO UNIDAD HIDRAULICA - CAT;UNIDADES;CAT
1545557-CTP;ACOPLAMIENTO UNIDAD HIDRAULICA - CTP;UNIDADES;CTP
6306772-CAT;ACTUATOR AS - CAT;UNIDADES;CAT
3526990-CAT;ACUMULADOR HIDRAULICO - CAT;UNIDADES;CAT
1U0257-DHM;ADAPTADOR - DHM;UNIDADES;DHM
1910522-CAT;ADAPTADOR DE CODO - CAT;UNIDADES;CAT
6V8724-CAT;ADAPTADOR DE CODO - CAT;UNIDADES;CAT
2011234-DHM;ADAPTADOR DE U•A ROMBO - DHM;UNIDADES;DHM
6I9251-DHM;ADAPTADOR ESQUINA DERECHO - DHM;UNIDADES;DHM
6I9250-DHM;ADAPTADOR ESQUINA IZQUIERDO - DHM;UNIDADES;DHM
0336783-CAT;ADAPTADOR RECTO EXTREMO NIPLE - CAT;UNIDADES;CAT
6V8636-CAT;ADAPTADOR RECTO HIDRAULICO - CAT;UNIDADES;CAT
3655169-CAT;ADAPTER - CAT;UNIDADES;CAT
3G8354-DHM;ADAPTER 320 - DHM;UNIDADES;DHM
6I6354-DHM;ADAPTER 320 - DHM;UNIDADES;DHM
6I6404-DHM;ADAPTER 325 - DHM;UNIDADES;DHM
6I6404-GETLF;ADAPTER 325 - GETLF;UNIDADES;GETLF
6I6464-DHM;ADAPTER 330 - DHM;UNIDADES;DHM
6Y3224-DHM;ADAPTER DE J225 - DHM;UNIDADES;DHM
6I6554-50-DHM;ADAPTER DE J550 - DHM;UNIDADES;DHM
8E6464-GETLF;ADAPTER J450 - GETLF;UNIDADES;GETLF
ADAPTER K110-DHM;ADAPTER K110 - DHM;UNIDADES;DHM
1U9891-CAT;ADITIVO DE ACEITE HIDRAULICO - CAT;UNIDADES;CAT
2979151-CTP;AJUSTE DE CADENA HIDRAULICA - CTP;UNIDADES;CTP
2979151-HDT;AJUSTE DE CADENA HIDRAULICA - HDT;UNIDADES;HDT
7I7709-CTP;AJUSTE DE RETROCESO - CTP;UNIDADES;CTP
4548482-CAT;ALARMA DE RETROCESO - CAT;UNIDADES;CAT
1912666-HDT;ALETA DEL GRUPO DE MANDO - HDT;UNIDADES;HDT
1693345-CTP;ALTERNADOR - CTP;UNIDADES;CTP
1855294-CTP;ALTERNADOR - CTP;UNIDADES;CTP
2128561-CTP;ALTERNADOR 320D-323D - CTP;UNIDADES;CTP
2357133-CTP;ALTERNADOR 329E - CTP;UNIDADES;CTP
2357133-CAT;ALTERNADOR DE 24 VOLTIOS - CAT;UNIDADES;CAT
9W3043-CAT;ALTERNADOR GRP - CAT;UNIDADES;CAT
9W3043-CTP;ALTERNADOR GRP - CTP;UNIDADES;CTP
A8VO107-PRPE0105;ALTERNATIVO CULATA NUEVA 325BL;UNIDADES;PRPE0105
A8VO107-PRPR2487;ALTERNATIVO CULATA NUEVA 325BL;UNIDADES;PRPR2487
2209083-ALT;ALTERNATIVO U•A K80 - ALTERNATIVO;UNIDADES;ALT
3832557-CAT;ALTERNATOR - CAT;UNIDADES;CAT
3832557-CTP;ALTERNATOR - CTP;UNIDADES;CTP
4246821-CTP;ALTERNATOR - CTP;UNIDADES;CTP
3445081-CAT;ALTERNATOR G - CAT;UNIDADES;CAT
3445081-CTP;ALTERNATOR G - CTP;UNIDADES;CTP
1038252-CAT;ANILLO - CAT;UNIDADES;CAT
1038253-CAT;ANILLO - CAT;UNIDADES;CAT
0951788-CAT;ANILLO - CAT;UNIDADES;CAT
1038345-CAT;ANILLO - CAT;UNIDADES;CAT
1188118-CAT;ANILLO - CAT;UNIDADES;CAT
1T1639-CAT;ANILLO - CAT;UNIDADES;CAT
2478947-CAT;ANILLO - CAT;UNIDADES;CAT
